,Jan-18
State,Unemployment Rate
AL,3.7
GA,4.5
NC,4.5
IN,3.3
OH,4.7
TX,4
TN,3.3
PA,4.8
FL,3.9
CO,3
MD,4.1
DC,5.8
IL,4.8
VA,3.6
NJ,4.7
CA,4.4
MA,3.5
NY,4.7
