,,Percent
Atlanta,GA,1.7
Raleigh,NC,2.8
Indianapolis,IN,1.9
Columbus,OH,1.3
Dallas,TX,2.4
Nashville,TN,2.7
Pittsburgh,PA,1.5
Austin,TX,3.7
Philadelphia,PA,0.8
Miami,FL,1.1
Denver,CO,2.4
Montgomery,MD,0.8
Washington,DC,1.4
Chicago,IL,0.5
Northern Virginia,VA,0.1
Newark,NJ,1.1
Los Angeles,CA,1.9
Boston,MA,0.8
New York,NY,1.1
