ID,Country,GeoID,City,State,Area Type,Minutes,Margin of Error
0100000US,United States,310M300US13700,Big Spring,TX,Micro,18.4,1.3
0100000US,United States,310M300US13720,Big Stone Gap,VA,Micro,23.6,1.1
0100000US,United States,310M300US13740,Billings,MT,Metro,19.5,0.5
0100000US,United States,310M300US13780,Binghamton,NY,Metro,20.4,0.5
0100000US,United States,310M300US13820,Birmingham-Hoover,AL,Metro,26.1,0.2
0100000US,United States,310M300US13900,Bismarck,ND,Metro,18.5,0.6
0100000US,United States,310M300US13940,Blackfoot,ID,Micro,21.7,1.3
0100000US,United States,310M300US13980,Blacksburg-Christiansburg-Radford,VA,Metro,21.1,0.5
0100000US,United States,310M300US14010,Bloomington,IL,Metro,18.3,0.4
0100000US,United States,310M300US14020,Bloomington,IN,Metro,20,0.5
0100000US,United States,310M300US14100,Bloomsburg-Berwick,PA,Metro,21.8,0.6
0100000US,United States,310M300US14140,Bluefield,WV,Micro,21.6,0.8
0100000US,United States,310M300US14180,Blytheville,AR,Micro,18.5,1
0100000US,United States,310M300US14220,Bogalusa,LA,Micro,33.1,2.1
0100000US,United States,310M300US14260,Boise City,ID,Metro,21.7,0.3
0100000US,United States,310M300US14300,Bonham,TX,Micro,29.6,1.5
0100000US,United States,310M300US14340,Boone,IA,Micro,21.1,1
0100000US,United States,310M300US14380,Boone,NC,Micro,19.8,1
0100000US,United States,310M300US14420,Borger,TX,Micro,19.1,1.8
0100000US,United States,310M300US14460,Boston-Cambridge-Newton,MA,Metro,30.6,0.1
0100000US,United States,314M300US1446014454,Boston,MA,Metro,32,0.2
0100000US,United States,314M300US1446015764,Cambridge-Newton-Framingham,MA,Metro,29.7,0.1
0100000US,United States,314M300US1446040484,Rockingham County-Strafford County,NH,Metro,29.2,0.5
0100000US,United States,310M300US14500,Boulder,CO,Metro,22.4,0.4
0100000US,United States,310M300US14540,Bowling Green,KY,Metro,21.6,0.6
0100000US,United States,310M300US14580,Bozeman,MT,Micro,17.6,0.7
0100000US,United States,310M300US14620,Bradford,PA,Micro,21,0.9
0100000US,United States,310M300US14660,Brainerd,MN,Micro,22,0.6
0100000US,United States,310M300US14700,Branson,MO,Micro,23.7,1.3
0100000US,United States,310M300US14720,Breckenridge,CO,Micro,16.6,1.4
0100000US,United States,310M300US14740,Bremerton-Silverdale,WA,Metro,30.3,0.6
0100000US,United States,310M300US14780,Brenham,TX,Micro,21.1,1.5
0100000US,United States,310M300US14820,Brevard,NC,Micro,25.5,2.5
0100000US,United States,310M300US14860,Bridgeport-Stamford-Norwalk,CT,Metro,29.7,0.3
0100000US,United States,310M300US15020,Brookhaven,MS,Micro,31.1,2.7
0100000US,United States,310M300US15060,Brookings,OR,Micro,14.1,1.3
0100000US,United States,310M300US15100,Brookings,SD,Micro,14.6,0.9
0100000US,United States,310M300US15140,Brownsville,TN,Micro,23.3,1.7
0100000US,United States,310M300US15180,Brownsville-Harlingen,TX,Metro,20.1,0.3
0100000US,United States,310M300US15220,Brownwood,TX,Micro,17.2,1
0100000US,United States,310M300US15260,Brunswick,GA,Metro,21.6,0.7
0100000US,United States,310M300US15340,Bucyrus,OH,Micro,21.1,1.1
0100000US,United States,310M300US15380,Buffalo-Cheektowaga-Niagara Falls,NY,Metro,21.3,0.2
0100000US,United States,310M300US15420,Burley,ID,Micro,16.1,0.8
0100000US,United States,310M300US15460,Burlington,IA,Micro,17.5,0.8
0100000US,United States,310M300US15500,Burlington,NC,Metro,23.5,0.6
0100000US,United States,310M300US15540,Burlington-South Burlington,VT,Metro,22.3,0.4
0100000US,United States,310M300US15580,Butte-Silver Bow,MT,Micro,15.4,1
0100000US,United States,310M300US15620,Cadillac,MI,Micro,21,0.5
0100000US,United States,310M300US15660,Calhoun,GA,Micro,23,1.1
0100000US,United States,310M300US15680,California-Lexington Park,MD,Metro,30.4,1.1
0100000US,United States,310M300US15700,Cambridge,MD,Micro,25.4,1.2
0100000US,United States,310M300US15740,Cambridge,OH,Micro,23.8,1
0100000US,United States,310M300US15780,Camden,AR,Micro,24.1,2.3
0100000US,United States,310M300US15820,Campbellsville,KY,Micro,18.9,1.5
0100000US,United States,310M300US15860,Cañon City,CO,Micro,23.2,1.3
0100000US,United States,310M300US15900,Canton,IL,Micro,25.4,0.9
0100000US,United States,310M300US15940,Canton-Massillon,OH,Metro,22.3,0.3
0100000US,United States,310M300US15980,Cape Coral-Fort Myers,FL,Metro,27.3,0.4
0100000US,United States,310M300US16020,Cape Girardeau,MO,Metro,20.7,0.6
0100000US,United States,310M300US16060,Carbondale-Marion,IL,Metro,20.2,0.6
0100000US,United States,310M300US16100,Carlsbad-Artesia,NM,Micro,16.9,0.8
0100000US,United States,310M300US16140,Carroll,IA,Micro,14,0.7
0100000US,United States,310M300US16180,Carson City,NV,Metro,17.8,0.8
0100000US,United States,310M300US16220,Casper,WY,Metro,17.2,0.5
0100000US,United States,310M300US16260,Cedar City,UT,Micro,17.3,1.5
0100000US,United States,310M300US16300,Cedar Rapids,IA,Metro,19.7,0.4
0100000US,United States,310M300US16340,Cedartown,GA,Micro,26.5,2.2
0100000US,United States,310M300US16380,Celina,OH,Micro,17.9,0.7
0100000US,United States,310M300US16420,Central City,KY,Micro,22.4,1.5
0100000US,United States,310M300US16460,Centralia,IL,Micro,20.8,0.8
0100000US,United States,310M300US16500,Centralia,WA,Micro,26.4,1
0100000US,United States,310M300US16540,Chambersburg-Waynesboro,PA,Metro,24,0.7
0100000US,United States,310M300US16580,Champaign-Urbana,IL,Metro,18.6,0.4
0100000US,United States,310M300US16620,Charleston,WV,Metro,22.5,0.5
0100000US,United States,310M300US16660,Charleston-Mattoon,IL,Micro,17.2,0.7
0100000US,United States,310M300US16700,Charleston-North Charleston,SC,Metro,25.1,0.2
0100000US,United States,310M300US16740,Charlotte-Concord-Gastonia,NC,Metro,26.3,0.2
0100000US,United States,310M300US16820,Charlottesville,VA,Metro,24.3,0.4
0100000US,United States,310M300US16860,Chattanooga,TN,Metro,23.3,0.3
0100000US,United States,310M300US16940,Cheyenne,WY,Metro,16.1,0.7
0100000US,United States,310M300US16980,Chicago-Naperville-Elgin,IL,Metro,31.3,0.1
0100000US,United States,314M300US1698016974,Chicago-Naperville-Arlington Heights,IL,Metro,32.2,0.1
0100000US,United States,314M300US1698020994,Elgin,IL,Metro,28.6,0.3
0100000US,United States,314M300US1698023844,Gary,IN,Metro,28,0.3
0100000US,United States,314M300US1698029404,Lake County-Kenosha County,IL,Metro,29.1,0.2
0100000US,United States,310M300US17020,Chico,CA,Metro,19.8,0.6
0100000US,United States,310M300US17060,Chillicothe,OH,Micro,26.5,1.1
0100000US,United States,310M300US17140,Cincinnati,OH,Metro,24.6,0.1
0100000US,United States,310M300US17200,Claremont-Lebanon,NH,Micro,23.1,0.4
0100000US,United States,310M300US17220,Clarksburg,WV,Micro,24.1,0.7
0100000US,United States,310M300US17260,Clarksdale,MS,Micro,21.5,2
0100000US,United States,310M300US17300,Clarksville,TN,Metro,22.6,0.4
0100000US,United States,310M300US17340,Clearlake,CA,Micro,28.8,1.6
0100000US,United States,310M300US17380,Cleveland,MS,Micro,17.6,1.3
0100000US,United States,310M300US17420,Cleveland,TN,Metro,22.6,0.8
0100000US,United States,310M300US17460,Cleveland-Elyria,OH,Metro,24.6,0.1
0100000US,United States,310M300US17500,Clewiston,FL,Micro,28.5,2.8
0100000US,United States,310M300US17540,Clinton,IA,Micro,19.5,0.8
0100000US,United States,310M300US17580,Clovis,NM,Micro,14,0.6
0100000US,United States,310M300US17660,Coeur d'Alene,ID,Metro,21.2,0.6
0100000US,United States,310M300US17700,Coffeyville,KS,Micro,17,1
0100000US,United States,310M300US17740,Coldwater,MI,Micro,22.9,0.8
0100000US,United States,310M300US17780,College Station-Bryan,TX,Metro,18.4,0.4
0100000US,United States,310M300US17820,Colorado Springs,CO,Metro,22.7,0.2
