,,City Tax,State Income
Atlanta,GA,0,6.00%
Raleigh,NC,0,5.75%
Indianapolis,IN,0,3.30%
Columbus,OH,2.50%,3.00%
Dallas,TX,0,0.00%
Nashville,TN,0,0.00%
Pittsburgh,PA,3.00%,3.00%
Austin,TX,0,0.00%
Philadelphia,PA,3.90%,3.00%
Miami,FL,0,0.00%
Denver,CO,0.00%,4.60%
Montgomery,MD,3.20%,3.75%
Washington,DC,0.00%,7.00%
Chicago,IL,0.00%,3.75%
Northern Virginia,VA,0.00%,5.75%
Newark,NJ,0.00%,5.50%
Los Angeles,CA,0.00%,8.00%
Boston,MA,0.00%,5.10%
New York,NY,3.60%,6.00%
