City/Region,State,RE & COL Score,Geo Score
Atlanta,GA,10.0,6.8
Austin,TX,8.2,3.8
Boston,MA,2.5,8.5
Chicago,IL,5.1,3.1
Columbus,OH,8.8,4.7
Dallas,TX,8.8,3.7
Denver,CO,5.3,0.0
Indianapolis,IN,8.5,4.0
Los Angeles,CA,0.8,1.9
Miami,FL,6.1,10.0
Montgomery County,MD,5.6,7.0
Nashville,TN,8.3,4.9
Newark,NJ,4.0,7.5
New York,NY,0.0,7.5
Northern Virginia,VA,5.1,7.1
Philadelphia,PA,6.7,7.3
Pittsburgh,PA,8.2,5.1
Raleigh,NC,9.4,7.5
Washington,DC,5.7,7.1
